StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,ID,Gender,Task t1,Task t2,Task e1,Task e2,Task Ratings_1,Task Ratings_2,Task Sentiment,block2progress,random
1/31/2024 15:26,1/31/2024 15:43,0,100,966,1,1/31/2024 15:43,R_5i62tfmZxS980pz,anonymous,EN,013717782,2,69,34,3,2,4,1,It was harder for me to focus on both tasks at the same time. It felt very natural and easy when I did one task at a time.,,1
1/31/2024 15:40,1/31/2024 15:44,0,100,222,1,1/31/2024 15:44,R_1qWzxasZUz0DZ68,anonymous,EN,015727049,1,47,27,2,0,3,1,Task 1 felt more difficult than task 2 because I had to juggle between letters and numbers while also completing the sentence. Task 1 was more complex than Task 2. Task 2 was a straight forward task. ,,2
1/31/2024 15:41,1/31/2024 15:45,0,100,227,1,1/31/2024 15:45,R_7ktT0KpNkLmom42,anonymous,EN,016199469,1,55,35,0,2,4,2,Task 1 seemed more difficult than task 2 because switching back and forth from writing to numbering would overload me and often times have me scrambling around. ,,1
1/31/2024 15:40,1/31/2024 15:45,0,100,284,1,1/31/2024 15:45,R_6jfTgVME2GKxK1g,anonymous,EN,015466464,1,50,27,1,0,3,1,"Task 2 was very easy because that is just the natural way of writing out words and numbers.
For Task 1 I kept losing track on where I was for writing out the sentence. I also just wanted to finish the words. ",,2
1/31/2024 15:46,1/31/2024 15:48,0,100,122,1,1/31/2024 15:48,R_54nGtFq0Cjmycg1,anonymous,EN,013052078,1,61.46,29.23,1,1,4,3,The first task felt more difficult because you are interchanging between writing a letter and a number on top of trying to be as fast as possible and be as neat as possible without having to make any errors.,,2
1/31/2024 15:28,1/31/2024 15:48,0,100,1222,1,1/31/2024 15:48,R_5FQE1qdcE8kFuUe,anonymous,EN,015650258,,57.51,28.21,0,0,5,2,I wanted to write more of the letters and/or numbers at once rather than interchanging. I also lost track of what letters I had next in the phrase.,,2
1/31/2024 15:27,1/31/2024 15:49,0,100,1276,1,1/31/2024 15:49,R_6ZeHLqBxwdeSxVv,anonymous,EN,014573962,1,71.23,35.22,2,0,4,3,"During task 1, I had to go back and forth between my thought processes. Recalling and writing alternating two different patterns was difficult.",,1
1/31/2024 15:41,1/31/2024 15:49,0,100,494,1,1/31/2024 15:49,R_3hB8qc0p8jgMKOd,anonymous,EN,015931708,2,65,36,1,0,4,2,2 was writing things one at a time which felt for efficient than the first.,,2
1/31/2024 15:48,1/31/2024 15:49,0,100,97,1,1/31/2024 15:49,R_1V29kpGbPSaRdfP,anonymous,EN,016305029,1,53.72,29.54,0,0,3,1,Task 1 felt difficult than the other because I had to multitask by writing a letter and a number.  ,,1
1/31/2024 15:45,1/31/2024 15:49,0,100,245,1,1/31/2024 15:49,R_5QLcCF2yzIwViTK,anonymous,EN,015370797,2,71,33,0,0,4,1,Task One felt difficult for me because I felt I was not able to keep track of the letters and numbers fast enough. I had to think about it sometimes.,,2
1/31/2024 15:48,1/31/2024 15:49,0,100,84,1,1/31/2024 15:49,R_7U959kq3OOiUvz0,anonymous,EN,016223363,1,44.27,26.54,0,1,4,2,The first task require good rymthm and having the next character in your mind as your writing.,,2
1/31/2024 15:47,1/31/2024 15:49,0,100,148,1,1/31/2024 15:49,R_52FGLuokZ6pQQ2F,anonymous,EN,015360202,1,66,33,0,0,4,1,Task 1 felt more difficult than the other because it was distracting due to going to different positions and going back and forth from the letters and numbers row.,,1
1/31/2024 15:47,1/31/2024 15:50,0,100,136,1,1/31/2024 15:50,R_3DBVh4tOYgqCDJA,anonymous,EN,016350100,2,65.27,29.29,2,0,5,2,My mind couldn't switch from letters to numbers fast enough. ,,1
1/31/2024 15:48,1/31/2024 15:50,0,100,125,1,1/31/2024 15:50,R_3tiDoAfmlW8OGwF,anonymous,EN,014362699,2,81.88,39.96,0,0,4,2,You had to focus hard on two different tasks and try to make no errors and switch off really quickly,,1
1/31/2024 15:49,1/31/2024 15:51,0,100,124,1,1/31/2024 15:51,R_7V4S54AwZTc8F7P,anonymous,EN,016498677,3,63,25,0,0,3,2,This is because my attention is distracted between the two task of writing the letter and number,,1
1/31/2024 15:21,1/31/2024 15:51,0,100,1834,1,1/31/2024 15:51,R_3ig23ZeGsVCCxYr,anonymous,EN,015838251,1,60,26,1,0,4,2,"When doing task one, I was talking in my head as I was writing, and numbers would pop in instead of the letter I needed.",,2
1/31/2024 15:50,1/31/2024 15:53,0,100,143,1,1/31/2024 15:53,R_1koDxoXKMwJzk1H,anonymous,EN,016048032,1,106,36,1,0,5,1,unable to focus on one thing at a time and i had to move my hand more,,2
1/31/2024 15:49,1/31/2024 15:53,0,100,278,1,1/31/2024 15:53,R_1LTmmnY2XCPnB9u,anonymous,EN,015530151,1,70,25,0,0,3,2,The second task was much easier than the second one because it required less concentration then doing numbers and letters at the same time.,,1
1/31/2024 15:48,1/31/2024 15:54,0,100,315,1,1/31/2024 15:54,R_1FzyY38pboOkiLn,anonymous,EN,009734985,1,75.43,32.09,4,0,4,2,Task 1 seemed more difficult as my workflow was constantly being interrupted. ,,1
1/31/2024 15:48,1/31/2024 15:55,0,100,451,1,1/31/2024 15:55,R_1nIcUevjUzDdLxA,anonymous,EN,015502318,1,83,37,0,0,4,2,"For Task 1 it felt very uncomfortable to get use to. The motions of jumping back and forth between letters and numbers makes me think about the alphabet (A-1, B-2, C-3, etc). I wanted to assign the letter to the appropriate number. For Task 2 it was much more easier. Writing out the entire phrase was less of a hassle. With the numbers it was breeze to go through since it was a standard numerical pattern.  ",,2
1/31/2024 15:52,1/31/2024 15:57,0,100,338,1,1/31/2024 15:57,R_3uTlx8Wv3ss2WK5,anonymous,EN,017320030,1,71.28,31.16,2,0,4,1,Because task 1 required more shift between letter and number concept to write,,1
1/31/2024 15:48,1/31/2024 16:08,0,100,1207,1,1/31/2024 16:08,R_1f0Alrk2lbEUtf5,anonymous,EN,015114541,1,65,38,0,0,4,5,Task 2 felt more difficult than Task 1 even though it should have been easier with the reason being that the brain is still switching from first task to the second task. ,,2
